Country,Measure_Type,Product,Year,Unit,Value
Sudan,Production,Processed Tea,2022,t,5052
Tajikistan,Production,Processed Tea,2020,t,1442
Tajikistan,Production,Processed Tea,2021,t,1344
Tajikistan,Production,Processed Tea,2022,t,1349
Tanzania,Production,Processed Tea,2019,t,33664
Tanzania,Production,Processed Tea,2020,t,28469
Tanzania,Production,Processed Tea,2021,t,26170
Tanzania,Production,Processed Tea,2022,t,25295
Thailand,Production,Processed Tea,2019,t,15000
Thailand,Production,Processed Tea,2020,t,15000
Thailand,Production,Processed Tea,2021,t,15000
Thailand,Production,Processed Tea,2022,t,15000
Timor-Leste,Production,Processed Tea,2021,t,28
Timor-Leste,Production,Processed Tea,2022,t,18
Togo,Production,Processed Tea,2021,t,91
Togo,Production,Processed Tea,2022,t,41
Türkiye,Production,Processed Tea,2019,t,281500
Türkiye,Production,Processed Tea,2020,t,283500
Türkiye,Production,Processed Tea,2021,t,282028
Türkiye,Production,Processed Tea,2022,t,245773
Turkmenistan,Production,Processed Tea,2021,t,967
Turkmenistan,Production,Processed Tea,2022,t,851
Uganda,Production,Processed Tea,2019,t,60337
Uganda,Production,Processed Tea,2020,t,75692
Uganda,Production,Processed Tea,2021,t,81675
Uganda,Production,Processed Tea,2022,t,68668
Ukraine,Production,Processed Tea,2020,t,3962
Ukraine,Production,Processed Tea,2021,t,3679
Ukraine,Production,Processed Tea,2022,t,2865
United Arab Emirates,Production,Processed Tea,2021,t,1272
United Arab Emirates,Production,Processed Tea,2022,t,1788
United Kingdom,Production,Processed Tea,2020,t,26586
United Kingdom,Production,Processed Tea,2021,t,22026
United Kingdom,Production,Processed Tea,2022,t,23916
United States of America,Production,Processed Tea,2020,t,22368
United States of America,Production,Processed Tea,2021,t,24288
United States of America,Production,Processed Tea,2022,t,25110
Uruguay,Production,Processed Tea,2021,t,108
Uruguay,Production,Processed Tea,2022,t,90
Uzbekistan,Production,Processed Tea,2020,t,7510
Uzbekistan,Production,Processed Tea,2021,t,6522
Uzbekistan,Production,Processed Tea,2022,t,7396
Vanuatu,Production,Processed Tea,2019,t,5
Vanuatu,Production,Processed Tea,2020,t,2
Vanuatu,Production,Processed Tea,2021,t,2
Vanuatu,Production,Processed Tea,2022,t,3
Vietnam,Production,Processed Tea,2019,t,236600
Vietnam,Production,Processed Tea,2020,t,243100
Vietnam,Production,Processed Tea,2021,t,253700
Vietnam,Production,Processed Tea,2022,t,274500
Yemen,Production,Processed Tea,2020,t,4080
Yemen,Production,Processed Tea,2021,t,4320
Yemen,Production,Processed Tea,2022,t,5083
Zimbabwe,Production,Processed Tea,2019,t,15200
Zimbabwe,Production,Processed Tea,2020,t,15000
Zimbabwe,Production,Processed Tea,2021,t,15300
Zimbabwe,Production,Processed Tea,2022,t,14400
