Country,Year,Tea_Type,Trade_Flow,Trade USD,Weight tones
Bahrain,2021,Black Tea,Re-Export,263528.63,64.96
Bahrain,2021,Green Tea,Export,1195.19,0.03
Bahrain,2021,Green Tea,Import,1110676.66,57.39
Bahrain,2021,Green Tea,Re-Export,1195.19,0.03
Bahrain,2022,Black Tea,Export,61854.87,26.81
Bahrain,2022,Black Tea,Import,12356469,751.14
Bahrain,2022,Black Tea,Re-Export,56876.14,24.41
Bahrain,2022,Green Tea,Export,2577.53,0.42
Bahrain,2022,Green Tea,Import,1302830.31,61.29
Bahrain,2022,Green Tea,Re-Export,2577.53,0.42
Barbados,2019,Black Tea,Export,36282,2.37
Barbados,2019,Black Tea,Import,758910,158.62
Barbados,2019,Green Tea,Export,1274,0.06
Barbados,2019,Green Tea,Import,295819,75.33
Barbados,2020,Black Tea,Export,36129.5,2.47
Barbados,2020,Black Tea,Import,1093334,155.4
Barbados,2020,Black Tea,Re-Export,36129.5,2.47
Barbados,2020,Green Tea,Export,189,0.01
Barbados,2020,Green Tea,Import,454468.5,91.29
Barbados,2020,Green Tea,Re-Export,189,0.01
Barbados,2021,Black Tea,Export,29369.5,2.09
Barbados,2021,Black Tea,Import,861606.5,118.69
Barbados,2021,Black Tea,Re-Export,29369.5,2.09
Barbados,2021,Green Tea,Export,689.5,0.03
Barbados,2021,Green Tea,Import,866565.5,249.32
Barbados,2021,Green Tea,Re-Export,689.5,0.03
Barbados,2022,Black Tea,Export,28932.5,1.94
Barbados,2022,Black Tea,Import,853632.5,123.36
Barbados,2022,Black Tea,Re-Export,28734.5,1.93
Barbados,2022,Green Tea,Export,370.5,0.01
Barbados,2022,Green Tea,Import,858340,193.51
Barbados,2022,Green Tea,Re-Export,370.5,0.01
Belarus,2019,Black Tea,Export,857600,344.26
Belarus,2019,Black Tea,Import,27400400,4221.63
Belarus,2019,Green Tea,Export,127900,149.15
Belarus,2019,Green Tea,Import,5395100,749.82
Belarus,2020,Black Tea,Export,1998100,658.39
Belarus,2020,Black Tea,Import,29915000,4776.93
Belarus,2020,Green Tea,Export,148000,72.28
Belarus,2020,Green Tea,Import,5572200,771.09
Belarus,2021,Black Tea,Export,3028200,922.72
Belarus,2021,Black Tea,Import,30929500,4867.3
Belarus,2021,Green Tea,Export,512200,157.97
Belarus,2021,Green Tea,Import,5840900,774.87
Belgium,2019,Black Tea,Export,6638234.13,548.27
Belgium,2019,Black Tea,Import,21107673.5,3577.84
Belgium,2019,Green Tea,Export,7955666.53,970.01
Belgium,2019,Green Tea,Import,20297475,2266.61
Belgium,2020,Black Tea,Export,4309576.94,312.54
Belgium,2020,Black Tea,Import,16986698,1885.93
Belgium,2020,Green Tea,Export,10103347.63,1356.26
Belgium,2020,Green Tea,Import,18745017.25,1818.21
Belgium,2021,Black Tea,Export,3636655.75,208.21
Belgium,2021,Black Tea,Import,18194997.5,2048.23
Belgium,2021,Green Tea,Export,10537752.13,1624.58
Belgium,2021,Green Tea,Import,20909464.25,224.27
Belgium,2022,Black Tea,Export,4298635,325.87
Belgium,2022,Black Tea,Import,17252324.75,1865.72
Belgium,2022,Green Tea,Export,10325902.44,1367.99
Belgium,2022,Green Tea,Import,21091064.25,2338.89
Belize,2019,Black Tea,Export,995.75,1.46
Belize,2019,Black Tea,Import,521023.18,319.43
Belize,2019,Black Tea,Re-Export,272.36,1.03
Belize,2019,Green Tea,Export,544.72,2.07
Belize,2019,Green Tea,Import,67942.39,42.8
Belize,2019,Green Tea,Re-Export,544.72,2.07
Belize,2020,Black Tea,Export,344.99,1.5
Belize,2020,Black Tea,Import,601007.63,322.81
Belize,2020,Black Tea,Re-Export,344.99,1.5
Belize,2020,Green Tea,Export,1379.97,4.62
Belize,2020,Green Tea,Import,87648.7,68.99
Belize,2020,Green Tea,Re-Export,1379.97,4.62
Belize,2021,Black Tea,Export,671.83,2.68
Belize,2021,Black Tea,Import,604801.47,345.48
Belize,2021,Black Tea,Re-Export,671.83,2.68
Belize,2021,Green Tea,Export,1379.97,5.51
Belize,2021,Green Tea,Import,131503.89,70.87
Belize,2021,Green Tea,Re-Export,1379.97,5.51
Belize,2022,Black Tea,Export,20436.64,1.39
Belize,2022,Black Tea,Import,1010479.4,250.75
Belize,2022,Black Tea,Re-Export,3812.45,0.45
Belize,2022,Green Tea,Export,363.15,0.24
Belize,2022,Green Tea,Import,138633.68,34.47
Belize,2022,Green Tea,Re-Export,363.15,0.24
Benin,2019,Black Tea,Import,191651.39,94.46
Benin,2019,Green Tea,Import,291069.23,220.5
Benin,2020,Black Tea,Import,235848.6,134.97
Benin,2020,Green Tea,Import,100372.07,65.18
Benin,2021,Black Tea,Import,211395.63,133.99
Benin,2021,Green Tea,Import,81647.51,55.75
Benin,2022,Black Tea,Import,142413.02,60.16
Benin,2022,Green Tea,Export,258.46,1.28
Benin,2022,Green Tea,Import,154453.78,574.23
Bermuda,2019,Black Tea,Import,419029.75,86.66
Bermuda,2019,Green Tea,Export,353,0.02
Bermuda,2019,Green Tea,Import,249908.48,37.19
Bermuda,2020,Black Tea,Export,34.53,0
Bermuda,2020,Black Tea,Import,354619.68,40.04
Bermuda,2020,Green Tea,Import,373463.35,45.72
Bermuda,2021,Black Tea,Import,393875.1,64.95
Bermuda,2021,Green Tea,Import,340159.1,35.41
Bermuda,2022,Black Tea,Import,420229.3,59.03
Bermuda,2022,Green Tea,Export,603.9,0.03
Bermuda,2022,Green Tea,Import,295361.19,27.68
Bolivia,2019,Black Tea,Export,9046.67,0.76
Bolivia,2019,Black Tea,Import,972718.97,669.28
Bolivia,2019,Green Tea,Export,3647.02,0.29
Bolivia,2019,Green Tea,Import,270018.69,19.32
Bolivia,2020,Black Tea,Export,445.6,0.03
Bolivia,2020,Black Tea,Import,918735.25,687.79
Bolivia,2020,Green Tea,Import,324083.2,38.16
Bolivia,2021,Black Tea,Export,2669.52,0.23
Bolivia,2021,Black Tea,Import,975276.02,680.66
Bolivia,2021,Green Tea,Import,357850.05,32.44
Bolivia,2022,Black Tea,Export,4782.2,0.37
Bolivia,2022,Black Tea,Import,779732,188.26
Bolivia,2022,Green Tea,Import,315258,NULL
Bosnia Herzegovina,2019,Black Tea,Export,3653.31,0.21
Bosnia Herzegovina,2019,Black Tea,Import,193296.46,27.29
Bosnia Herzegovina,2019,Green Tea,Export,14876.95,1.12
Bosnia Herzegovina,2019,Green Tea,Import,379138.5,35.88
Bosnia Herzegovina,2020,Black Tea,Export,14856.03,1.02
Bosnia Herzegovina,2020,Black Tea,Import,122121.99,12.34
Bosnia Herzegovina,2020,Green Tea,Export,241648.37,8.63
Bosnia Herzegovina,2020,Green Tea,Import,399730.72,39.52
Bosnia Herzegovina,2021,Black Tea,Export,8288.73,0.54
Bosnia Herzegovina,2021,Black Tea,Import,158909.21,15.07
Bosnia Herzegovina,2021,Green Tea,Export,38885.48,1.43
Bosnia Herzegovina,2021,Green Tea,Import,464673.92,43.64
Bosnia Herzegovina,2022,Black Tea,Export,4455.02,0.24
Bosnia Herzegovina,2022,Black Tea,Import,220679.67,31.07
Bosnia Herzegovina,2022,Green Tea,Export,52093.25,1.26
Bosnia Herzegovina,2022,Green Tea,Import,462691.95,46.93
Botswana,2019,Black Tea,Export,4532.8,0.37
Botswana,2019,Black Tea,Import,7121324,1924.78
Botswana,2019,Green Tea,Export,537.66,0.1
Botswana,2019,Green Tea,Import,947359.98,202.72
Botswana,2020,Black Tea,Export,221.26,0.03
Botswana,2020,Black Tea,Import,7125016,1978.92
Botswana,2020,Green Tea,Export,151.29,0.01
Botswana,2020,Green Tea,Import,568086.78,196.76
Botswana,2021,Black Tea,Export,1301.53,0.08
Botswana,2021,Black Tea,Import,7016889.5,1896.12
